Date,Currency,Exchange Rate
1/1/2025,USD,0.7407407407
1/1/2025,JPY,0.006451612903
1/1/2025,EUR,0.8333333333
1/1/2025,GBP,1
2/1/2025,USD,0.7396449704
2/1/2025,JPY,0.006472491909
2/1/2025,EUR,0.8326394671
2/1/2025,GBP,1
3/1/2025,USD,0.7385524372
3/1/2025,JPY,0.006493506494
3/1/2025,EUR,0.8319467554
3/1/2025,GBP,1
4/1/2025,USD,0.7374631268
4/1/2025,JPY,0.006451612903
4/1/2025,EUR,0.8312551953
4/1/2025,GBP,1
5/1/2025,USD,0.736377025
5/1/2025,JPY,0.006472491909
5/1/2025,EUR,0.8333333333
5/1/2025,GBP,1
6/1/2025,USD,0.7407407407
6/1/2025,JPY,0.006493506494
6/1/2025,EUR,0.8326394671
6/1/2025,GBP,1
7/1/2025,USD,0.7396449704
7/1/2025,JPY,0.006451612903
7/1/2025,EUR,0.8319467554
7/1/2025,GBP,1
8/1/2025,USD,0.7385524372
8/1/2025,JPY,0.006472491909
8/1/2025,EUR,0.8312551953
8/1/2025,GBP,1
9/1/2025,USD,0.7374631268
9/1/2025,JPY,0.006493506494
9/1/2025,EUR,0.8333333333
9/1/2025,GBP,1
10/1/2025,USD,0.736377025
10/1/2025,JPY,0.006451612903
10/1/2025,EUR,0.8326394671
10/1/2025,GBP,1
11/1/2025,USD,0.7407407407
11/1/2025,JPY,0.006472491909
11/1/2025,EUR,0.8319467554
11/1/2025,GBP,1
12/1/2025,USD,0.7396449704
12/1/2025,JPY,0.006493506494
12/1/2025,EUR,0.8312551953
12/1/2025,GBP,1
13/1/2025,USD,0.7385524372
13/1/2025,JPY,0.006451612903
13/1/2025,EUR,0.8333333333
13/1/2025,GBP,1
14/1/2025,USD,0.7374631268
14/1/2025,JPY,0.006472491909
14/1/2025,EUR,0.8326394671
14/1/2025,GBP,1
15/1/2025,USD,0.736377025
15/1/2025,JPY,0.006493506494
15/1/2025,EUR,0.8319467554
15/1/2025,GBP,1
16/1/2025,USD,0.7407407407
16/1/2025,JPY,0.006451612903
16/1/2025,EUR,0.8312551953
16/1/2025,GBP,1
17/1/2025,USD,0.7396449704
17/1/2025,JPY,0.006472491909
17/1/2025,EUR,0.8333333333
17/1/2025,GBP,1
18/1/2025,USD,0.7385524372
18/1/2025,JPY,0.006493506494
18/1/2025,EUR,0.8326394671
18/1/2025,GBP,1
19/1/2025,USD,0.7374631268
19/1/2025,JPY,0.006451612903
19/1/2025,EUR,0.8319467554
19/1/2025,GBP,1
20/1/2025,USD,0.736377025
20/1/2025,JPY,0.006472491909
20/1/2025,EUR,0.8312551953
20/1/2025,GBP,1
21/1/2025,USD,0.7407407407
21/1/2025,JPY,0.006493506494
21/1/2025,EUR,0.8333333333
21/1/2025,GBP,1
22/1/2025,USD,0.7396449704
22/1/2025,JPY,0.006451612903
22/1/2025,EUR,0.8326394671
22/1/2025,GBP,1
23/1/2025,USD,0.7385524372
23/1/2025,JPY,0.006472491909
23/1/2025,EUR,0.8319467554
23/1/2025,GBP,1
24/1/2025,USD,0.7374631268
24/1/2025,JPY,0.006493506494
24/1/2025,EUR,0.8312551953
24/1/2025,GBP,1
25/1/2025,USD,0.736377025
25/1/2025,JPY,0.006451612903
25/1/2025,EUR,0.8333333333
25/1/2025,GBP,1
26/1/2025,USD,0.7407407407
26/1/2025,JPY,0.006472491909
26/1/2025,EUR,0.8326394671
26/1/2025,GBP,1
27/1/2025,USD,0.7396449704
27/1/2025,JPY,0.006493506494
27/1/2025,EUR,0.8319467554
27/1/2025,GBP,1
28/1/2025,USD,0.7385524372
28/1/2025,JPY,0.006451612903
28/1/2025,EUR,0.8312551953
28/1/2025,GBP,1
29/1/2025,USD,0.7374631268
29/1/2025,JPY,0.006472491909
29/1/2025,EUR,0.8333333333
29/1/2025,GBP,1
30/1/2025,USD,0.736377025
30/1/2025,JPY,0.006493506494
30/1/2025,EUR,0.8326394671
30/1/2025,GBP,1
31/1/2025,USD,0.7407407407
31/1/2025,JPY,0.006451612903
31/1/2025,EUR,0.8319467554
31/1/2025,GBP,1
1/2/2025,USD,0.7396449704
1/2/2025,JPY,0.006472491909
1/2/2025,EUR,0.8312551953
1/2/2025,GBP,1
2/2/2025,USD,0.7385524372
2/2/2025,JPY,0.006493506494
2/2/2025,EUR,0.8333333333
2/2/2025,GBP,1
3/2/2025,USD,0.7374631268
3/2/2025,JPY,0.006451612903
3/2/2025,EUR,0.8326394671
3/2/2025,GBP,1
4/2/2025,USD,0.736377025
4/2/2025,JPY,0.006472491909
4/2/2025,EUR,0.8319467554
4/2/2025,GBP,1
5/2/2025,USD,0.7407407407
5/2/2025,JPY,0.006493506494
5/2/2025,EUR,0.8312551953
5/2/2025,GBP,1
6/2/2025,USD,0.7396449704
6/2/2025,JPY,0.006451612903
6/2/2025,EUR,0.8333333333
6/2/2025,GBP,1
7/2/2025,USD,0.7385524372
7/2/2025,JPY,0.006472491909
7/2/2025,EUR,0.8326394671
7/2/2025,GBP,1
8/2/2025,USD,0.7374631268
8/2/2025,JPY,0.006493506494
8/2/2025,EUR,0.8319467554
8/2/2025,GBP,1
9/2/2025,USD,0.736377025
9/2/2025,JPY,0.006451612903
9/2/2025,EUR,0.8312551953
9/2/2025,GBP,1
10/2/2025,USD,0.7407407407
10/2/2025,JPY,0.006472491909
10/2/2025,EUR,0.8333333333
10/2/2025,GBP,1
11/2/2025,USD,0.7396449704
11/2/2025,JPY,0.006493506494
11/2/2025,EUR,0.8326394671
11/2/2025,GBP,1
12/2/2025,USD,0.7385524372
12/2/2025,JPY,0.006451612903
12/2/2025,EUR,0.8319467554
12/2/2025,GBP,1
13/2/2025,USD,0.7374631268
13/2/2025,JPY,0.006472491909
13/2/2025,EUR,0.8312551953
13/2/2025,GBP,1
14/2/2025,USD,0.736377025
14/2/2025,JPY,0.006493506494
14/2/2025,EUR,0.8333333333
14/2/2025,GBP,1
15/2/2025,USD,0.7407407407
15/2/2025,JPY,0.006451612903
15/2/2025,EUR,0.8326394671
15/2/2025,GBP,1
16/2/2025,USD,0.7396449704
16/2/2025,JPY,0.006472491909
16/2/2025,EUR,0.8319467554
16/2/2025,GBP,1
17/2/2025,USD,0.7385524372
17/2/2025,JPY,0.006493506494
17/2/2025,EUR,0.8312551953
17/2/2025,GBP,1
18/2/2025,USD,0.7374631268
18/2/2025,JPY,0.006451612903
18/2/2025,EUR,0.8333333333
18/2/2025,GBP,1
19/2/2025,USD,0.736377025
19/2/2025,JPY,0.006472491909
19/2/2025,EUR,0.8326394671
19/2/2025,GBP,1
20/2/2025,USD,0.7407407407
20/2/2025,JPY,0.006493506494
20/2/2025,EUR,0.8319467554
20/2/2025,GBP,1
21/2/2025,USD,0.7396449704
21/2/2025,JPY,0.006451612903
21/2/2025,EUR,0.8312551953
21/2/2025,GBP,1
22/2/2025,USD,0.7385524372
22/2/2025,JPY,0.006472491909
22/2/2025,EUR,0.8333333333
22/2/2025,GBP,1
23/2/2025,USD,0.7374631268
23/2/2025,JPY,0.006493506494
23/2/2025,EUR,0.8326394671
23/2/2025,GBP,1
24/2/2025,USD,0.736377025
24/2/2025,JPY,0.006451612903
24/2/2025,EUR,0.8319467554
24/2/2025,GBP,1
25/2/2025,USD,0.7407407407
25/2/2025,JPY,0.006472491909
25/2/2025,EUR,0.8312551953
25/2/2025,GBP,1
26/2/2025,USD,0.7396449704
26/2/2025,JPY,0.006493506494
26/2/2025,EUR,0.8333333333
26/2/2025,GBP,1
27/2/2025,USD,0.7385524372
27/2/2025,JPY,0.006451612903
27/2/2025,EUR,0.8326394671
27/2/2025,GBP,1
28/2/2025,USD,0.7374631268
28/2/2025,JPY,0.006472491909
28/2/2025,EUR,0.8319467554
28/2/2025,GBP,1
