Date,Release_Year,User_Review,Name,Price_Sold,Place_Sold
20/2/2025,2012,5/5 It's the game of the year!,Halo Infinite (made by 343 Industries),11.25,USA
25/2/2025,2021,Too many bugs at launch.,GTA V (made by Rockstar Games),39.18,Europe
14/2/2025,2015,4/5 Graphics are next-level!,Dark Souls (made by FromSoftware),62.39,Europe
3/2/2025,2022,"4/5 Amazing game, but a bit short.",Doom Eternal (made by id Software),33.53,United Kingdom
4/2/2025,2019,5/5 Masterpiece!,GTA V (made by Rockstar Games),62.78,USA
12/2/2025,2024,"3/5 Amazing game, but a bit short.",Halo Infinite (made by 343 Industries),27.42,United Kingdom
22/2/2025,2022,"3/5 Amazing game, but a bit short.",Sekiro Shadows Die Twice (made by FromSoftware),28.35,United Kingdom
6/2/2025,2016,"3/5 Amazing game, but a bit short.",Elden Ring (made by FromSoftware),67.31,USA
24/2/2025,2022,5/5 Masterpiece!,League of Legends (made by Riot Games),38.21,USA
10/2/2025,2022,5/5 A masterpiece!,GTA V (made by Rockstar Games),12.82,Europe
27/2/2025,2014,"3/5 Amazing game, but a bit short.",God of War (made by Santa Monica Studio),15.75,Europe
1/2/2025,2016,3/5 Graphics are decent,Resident Evil (made by Capcom),35.60,United Kingdom
28/2/2025,2019,4/5 The story was incredible!,Dark Souls (made by FromSoftware),22.32,Europe
8/2/2025,2019,"2/5 Solid mechanics, weak plot.",Sekiro Shadows Die Twice (made by FromSoftware),59.88,Europe
10/2/2025,2010,"3/5 Overhyped, but still fun.",God of War (made by Santa Monica Studio),18.14,Europe
10/2/2025,2016,Multiplayer could be better.,Doom Eternal (made by id Software),61.34,Japan
22/2/2025,2013,5/5 Masterpiece!,Fortnite (made by Epic Games),58.70,Europe
7/2/2025,2017,5/5 Multiplayer could be better.,Halo Infinite (made by 343 Industries),50.70,Europe
26/2/2025,2024,Too many bugs at launch.,League of Legends (made by Riot Games),51.92,United Kingdom
2/2/2025,2021,5/5 Masterpiece!,Valorant (made by Riot Games),31.48,Europe
26/2/2025,2025,4/5 Graphics are next-level!,Sekiro Shadows Die Twice (made by FromSoftware),48.52,Japan
15/2/2025,2020,"4/5 Overhyped, but still fun.",Dark Souls (made by FromSoftware),68.60,USA
8/2/2025,2020,3/5 Best game of the year!,Super Mario Odyssey (made by Nintendo),47.86,United Kingdom
9/2/2025,2017,5/5 Masterpiece!,Halo Infinite (made by 343 Industries),49.53,United Kingdom
4/2/2025,2012,"3/5 Overhyped, but still fun.",Zelda Breath of the Wild (made by Nintendo),45.78,United Kingdom
17/2/2025,2019,"5/5 Solid mechanics, weak plot.",Valorant (made by Riot Games),20.84,Europe
7/2/2025,2017,"1/5 Overhyped, but still fun.",Resident Evil (made by Capcom),13.65,United Kingdom
27/2/2025,2013,1/5 Graphics are next-level!,Red Dead Redemption (made by Rockstar Games),65.23,Japan
16/2/2025,2018,5/5 Masterpiece!,Dark Souls (made by FromSoftware),33.21,Japan
10/2/2025,2017,5/5 Graphics are next-level!,Doom Eternal (made by id Software),64.57,United Kingdom
20/2/2025,2012,Too many bugs at launch.,Valorant (made by Riot Games),40.07,Europe
12/2/2025,2021,2/5 Too many bugs at launch.,Valorant (made by Riot Games),52.70,USA
28/2/2025,2024,5/5 It's the game of the year!,Dark Souls (made by FromSoftware),61.46,Japan
3/2/2025,2019,4/5 Best game of the year!,Zelda Breath of the Wild (made by Nintendo),22.55,Japan
8/2/2025,2010,5/5 It's the game of the year!,League of Legends (made by Riot Games),35.64,USA
12/2/2025,2025,3/5 A masterpiece!,Fortnite (made by Epic Games),22.82,Europe
9/2/2025,2020,1/5 Best game of the year!,Fortnite (made by Epic Games),62.10,United Kingdom
1/2/2025,2023,Too many bugs at launch.,GTA V (made by Rockstar Games),34.85,United Kingdom
20/2/2025,2020,3/5 A masterpiece!,Horizon Zero Dawn (made by Guerrilla Games),42.89,USA
3/2/2025,2011,"2/5 Solid mechanics, weak plot.",Super Mario Odyssey (made by Nintendo),39.52,Europe
10/2/2025,2010,"3/5 Overhyped, but still fun.",Zelda Breath of the Wild (made by Nintendo),58.95,USA
18/2/2025,2015,"3/5 Overhyped, but still fun.",Fortnite (made by Epic Games),51.67,United Kingdom
15/2/2025,2015,"3/5 Amazing game, but a bit short.",GTA V (made by Rockstar Games),22.03,USA
1/2/2025,2016,Multiplayer could be better.,Doom Eternal (made by id Software),24.59,United Kingdom
12/2/2025,2020,"3/5 Amazing game, but a bit short.",League of Legends (made by Riot Games),23.73,Europe
16/2/2025,2024,"2/5 Solid mechanics, weak plot.",God of War (made by Santa Monica Studio),26.03,Japan
8/2/2025,2019,5/5 Masterpiece!,Apex Legends (made by Respawn Entertainment),33.46,United Kingdom
9/2/2025,2017,5/5 Masterpiece!,Fortnite (made by Epic Games),22.12,Europe
20/2/2025,2010,"3/5 Amazing game, but a bit short.",Cyberpunk (made by CD Projekt Red),52.32,USA
16/2/2025,2018,Multiplayer could be better.,GTA V (made by Rockstar Games),24.23,Japan
14/2/2025,2022,1/5 The story was incredible!,Overwatch (made by Blizzard Entertainment),23.17,USA
13/2/2025,2015,4/5 The story was incredible!,Super Mario Odyssey (made by Nintendo),11.15,United Kingdom
7/2/2025,2023,4/5 Best game of the year!,Sekiro Shadows Die Twice (made by FromSoftware),69.28,United Kingdom
19/2/2025,2010,3/5 A masterpiece!,League of Legends (made by Riot Games),56.46,United Kingdom
8/2/2025,2025,3/5 Graphics are decent,GTA V (made by Rockstar Games),39.22,United Kingdom
4/2/2025,2020,"3/5 Overhyped, but still fun.",Apex Legends (made by Respawn Entertainment),15.78,Europe
10/2/2025,2021,"4/5 Overhyped, but still fun.",Overwatch (made by Blizzard Entertainment),60.82,United Kingdom
3/2/2025,2021,"3/5 Overhyped, but still fun.",Zelda Breath of the Wild (made by Nintendo),29.19,USA
28/2/2025,2013,3/5 The story was incredible!,Cyberpunk (made by CD Projekt Red),63.07,United Kingdom
8/2/2025,2020,"2/5 Solid mechanics, weak plot.",Red Dead Redemption (made by Rockstar Games),36,USA
15/2/2025,2016,"2/5 Solid mechanics, weak plot.",Valorant (made by Riot Games),22.46,Japan
6/2/2025,2014,5/5 Masterpiece!,Sekiro Shadows Die Twice (made by FromSoftware),69.26,Europe
26/2/2025,2023,"3/5 Amazing game, but a bit short.",Halo Infinite (made by 343 Industries),27.30,USA
17/2/2025,2012,5/5 It's the game of the year!,Zelda Breath of the Wild (made by Nintendo),57.78,Japan
7/2/2025,2016,2/5 Multiplayer could be better.,Halo Infinite (made by 343 Industries),35.25,Japan
2/2/2025,2021,Too many bugs at launch.,Super Mario Odyssey (made by Nintendo),36.17,Europe
25/2/2025,2021,"3/5 Overhyped, but still fun.",Sekiro Shadows Die Twice (made by FromSoftware),49.71,Europe
25/2/2025,2010,"2/5 Solid mechanics, weak plot.",Sekiro Shadows Die Twice (made by FromSoftware),66.51,Japan
26/2/2025,2017,5/5 Masterpiece!,Valorant (made by Riot Games),40.09,USA
6/2/2025,2020,"4/5 Amazing game, but a bit short.",Cyberpunk (made by CD Projekt Red),31.96,Japan
10/2/2025,2017,"3/5 Overhyped, but still fun.",Sekiro Shadows Die Twice (made by FromSoftware),50.75,Japan
